,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
0,1701256,254329,18824759,16268722,[ 14971.91860465 110625.27906977   1604.        ],[ 14874.41860465 110646.27906977   1608.        ],"[15059.005813953492, 110664.08720930235, 1604.0]","[14970.005813953492, 110693.83720930235, 1608.0]",72553886904559302,72553886904579180,648518346488881165,648518346496059082
1,1611292,254329,18504471,16268695,[ 13917.63953488 110560.46511628   1659.        ],[ 14094.18604651 110470.69767442   1661.        ],"[14003.918604651164, 110518.8953488372, 1659.0]","[14172.058139534884, 110431.59302325583, 1661.0]",72483449441046531,72483449441070164,648518346514032921,648518346496059082
2,1612887,254329,18505743,18505742,[ 12109.28953488 111682.06511628   1906.        ],[ 11982.37209302 111762.09302326   1903.        ],"[12182.368604651163, 111700.19534883722, 1906.0]","[12059.616279069767, 111775.52906976745, 1903.0]",72413149550525586,72413149550543309,648518346489762647,648518346496059082
3,1613869,254329,18506501,18506500,[ 12124.30232558 111578.86046512   1883.        ],[ 12086.30232558 111860.86046512   1883.        ],"[12181.35465116279, 111560.22093023255, 1883.0]","[12145.656976744185, 111837.83139534887, 1883.0]",72413149550502848,72413149550479346,648518346489762647,648518346496059082
4,1614094,254329,18506656,18506655,[ 11847.37209302 111556.27906977   1945.        ],[ 11824.14697674 111711.62790698   1945.        ],"[11890.866279069767, 111558.58720930235, 1945.0]","[11869.69093023256, 111713.63372093024, 1945.0]",72413149617426591,72413149617439418,648518346518798559,648518346496059082
5,1614160,254329,18506703,16268608,[ 11983.61906977 111760.26976744   1956.        ],[ 11703.02325581 111688.37209302   1955.        ],"[12030.107209302323, 111761.80930232558, 1956.0]","[11754.819767441862, 111687.3662790698, 1955.0]",72413149617449957,72413149617461927,648518346459693060,648518346496059082
6,1614201,254329,18506713,18506712,[ 11919.61930233 111786.26511628   1953.        ],[ 11727.24837209 111693.02325581   1953.        ],"[11966.988604651164, 111784.28023255814, 1953.0]","[11774.49511627907, 111691.81976744186, 1953.0]",72413149617439489,72413149617439442,648518346459693060,648518346496059082
7,1614903,254329,18507213,16268597,[ 11584.72790698 111394.36744186   2024.        ],[ 11535.11627907 111629.30232558   2024.        ],"[11592.45581395349, 111376.48488372096, 2024.0]","[11543.348837209302, 111608.65697674421, 2024.0]",72413149617592029,72413149617646275,648518346494231291,648518346496059082
8,1614934,254329,18507221,18507220,[ 11464.75348837 111322.3627907    2043.        ],[ 11507.06976744 111530.27906977   2043.        ],"[11482.75697674419, 111316.22558139535, 2043.0]","[11525.389534883721, 111526.5581395349, 2043.0]",72413149617682287,72413149617646275,648518346494231291,648518346496059082
9,1615040,254329,18507294,18507293,[ 10725.20930233 110916.83255814   2103.        ],[ 10910.46511628 111008.75813953   2103.        ],"[10769.877906976746, 110922.99767441864, 2103.0]","[10952.930232558141, 111018.76627906977, 2103.0]",72413149684628079,72413149684630814,648518346479899124,648518346496059082
10,1615071,254329,18507301,16268580,[ 10837.55813953 111064.86976744   2117.        ],[ 10890.46511628 110958.37209302   2115.        ],"[10863.866279069767, 111082.98953488373, 2117.0]","[10921.145348837212, 110977.1162790698, 2115.0]",72413149684670086,72413149684662695,648518346500844188,648518346496059082
11,1615122,254329,18507313,18507312,[ 10895.85813953 110789.43255814   2114.        ],[ 10892.86790698 110963.29302326   2114.        ],"[10931.71627906977, 110812.61511627908, 2114.0]","[10926.735813953492, 110983.58604651163, 2114.0]",72413149684660155,72413149684662695,648518346472590089,648518346496059082
