,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
0,400121,2022-11-17 14:28:59.843347+00:00,,t,70,72764443985382369,648518346459681796,72694075241199126,648518346496059082,[20511 95611  2792],[20475 95623  2792]
1,37064577,2022-11-17 14:28:59.843347+00:00,,t,13,72342574983429275,648518346496100925,72342574983431400,648518346496059082,[  9247 104993   2517],[  9233 104951   2518]
2,42455332,2022-11-17 14:28:59.843347+00:00,,t,43,72834950101367683,648518346478945488,72834950101358013,648518346496059082,[22641 98489  2645],[22655 98519  2646]
3,42512816,2022-11-17 14:28:59.843347+00:00,,t,30,72483037593922448,648518346501071209,72483037593890188,648518346496059082,[13965 96393  2524],[13989 96385  2523]
4,42512712,2022-11-17 14:28:59.843347+00:00,,t,19,72483037593862406,648518346501879369,72483037593878572,648518346496059082,[13907 96603  2512],[13887 96609  2515]
5,42512840,2022-11-17 14:28:59.843347+00:00,,t,20,72483037593885430,648518346526360791,72483037593885390,648518346496059082,[14041 96449  2520],[14009 96431  2521]
6,42512828,2022-11-17 14:28:59.843347+00:00,,t,26,72483037593811643,648518346493131584,72483037593811672,648518346496059082,[13995 96839  2487],[13997 96879  2487]
7,8925855,2022-11-17 14:28:59.843347+00:00,,t,37,72342506398135240,648518346486702383,72342506398138061,648518346496059082,[  9145 103067   2765],[  9173 103089   2764]
8,37500630,2022-11-17 14:28:59.843347+00:00,,t,17,72412875276727846,648518346486702383,72412875276666580,648518346496059082,[ 11073 103711   3074],[ 11091 103741   3075]
9,38541385,2022-11-17 14:28:59.843347+00:00,,t,15,72412806422930138,648518346486702383,72412806422930090,648518346496059082,[ 10619 102323   2800],[ 10629 102293   2801]
10,31243634,2022-11-17 14:28:59.843347+00:00,,t,20,72764443985366464,648518346479572672,72764443985358898,648518346496059082,[21021 95701  2795],[21047 95697  2794]
11,741921,2022-11-17 14:28:59.843347+00:00,,t,41,72553543777025791,648518346502431827,72553543777045730,648518346496059082,[ 14973 102217   2522],[ 14987 102237   2524]
12,36064556,2022-11-17 14:28:59.843347+00:00,,t,32,72413149886124766,648518346479837078,72413149886050288,648518346496059082,[ 11079 110967   2546],[ 11105 110951   2546]
13,28289172,2022-11-17 14:28:59.843347+00:00,,t,20,72764443716690466,648518346479837078,72764443716692665,648518346496059082,[21233 94299  2216],[21219 94329  2217]
14,7367912,2022-11-17 14:28:59.843347+00:00,,t,27,72412875276677187,648518346479837078,72412875276668960,648518346496059082,[ 11279 103019   3069],[ 11263 102989   3070]
15,5870382,2022-11-17 14:28:59.843347+00:00,,t,36,72413149684635611,648518346479899124,72413149684635601,648518346496059082,[ 10893 110989   2102],[ 10929 110995   2102]
16,10171438,2022-11-17 14:28:59.843347+00:00,,t,37,72905524936935986,648518346479899124,72905524936941954,648518346496059082,[ 25979 106153   2559],[ 25979 106129   2560]
17,10171447,2022-11-17 14:28:59.843347+00:00,,t,26,72905524936912518,648518346479899124,72905524936923801,648518346496059082,[ 25985 106127   2556],[ 25985 106099   2556]
18,37500649,2022-11-17 14:28:59.843347+00:00,,t,14,72412875276657407,648518346486702383,72412875276666580,648518346496059082,[ 11103 103773   3066],[ 11121 103787   3068]
19,4596579,2022-11-17 14:28:59.843347+00:00,,t,21,72764375064497508,648518346486141124,72764375064497495,648518346496059082,[21553 93305  2389],[21527 93285  2390]
20,4596645,2022-11-17 14:28:59.843347+00:00,,t,33,72764375064497508,648518346486141124,72764375064482087,648518346496059082,[21617 93283  2387],[21625 93247  2387]
21,4596681,2022-11-17 14:28:59.843347+00:00,,t,24,72764375064495191,648518346486141124,72764375064497640,648518346496059082,[21657 93417  2391],[21663 93443  2390]
22,20552570,2022-11-17 14:28:59.843347+00:00,,t,30,72342712489474615,648518346479837078,72342712489498289,648518346496059082,[  8645 110093   2656],[  8671 110097   2656]
23,20552582,2022-11-17 14:28:59.843347+00:00,,t,36,72342712489493706,648518346479837078,72342712489502626,648518346496059082,[  8667 109871   2657],[  8689 109853   2657]
24,10171323,2022-11-17 14:28:59.843347+00:00,,t,14,72905524936917995,648518346479899124,72905524936931151,648518346496059082,[ 25837 106151   2557],[ 25813 106145   2558]
26,28702897,2022-11-17 14:28:59.843347+00:00,,t,13,72412944062952294,648518346507313718,72412944062961837,648518346496059082,[ 11253 104553   3088],[ 11263 104587   3089]
27,19241869,2022-11-17 14:28:59.843347+00:00,,t,25,72342506331139186,648518346509612931,72342506331124061,648518346496059082,[  9857 103155   2662],[  9837 103171   2662]
28,20619011,2022-11-17 14:28:59.843347+00:00,,t,30,72342437678750980,648518346509612931,72342437678753573,648518346496059082,[  9643 100751   2787],[  9663 100733   2787]
29,20618921,2022-11-17 14:28:59.843347+00:00,,t,17,72342437678800713,648518346509612931,72342437678779311,648518346496059082,[  9477 100679   2802],[  9499 100661   2801]
30,26453768,2022-11-17 14:28:59.843347+00:00,,t,36,72483175099774656,648518346509612931,72483175099783689,648518346496059082,[ 13075 102353   2583],[ 13083 102387   2584]
31,44421306,2022-11-17 14:28:59.843347+00:00,,t,33,72412875075338253,648518346509612931,72412875075337559,648518346496059082,[ 11211 102487   2669],[ 11243 102499   2670]
32,4596729,2022-11-17 14:28:59.843347+00:00,,t,33,72764375064492521,648518346484890781,72764375064469491,648518346496059082,[21761 93307  2380],[21729 93321  2380]
33,17011448,2022-11-17 14:28:59.843347+00:00,,t,27,72553337752792027,648518346477661198,72553337752801796,648518346496059082,[15931 96075  2777],[15925 96101  2779]
34,29957356,2022-11-17 14:28:59.843347+00:00,,t,50,72764443716783121,648518346484890781,72764443716791430,648518346496059082,[20859 95665  2282],[20895 95675  2282]
35,29957364,2022-11-17 14:28:59.843347+00:00,,t,15,72764443716837893,648518346484890781,72764443716821801,648518346496059082,[20931 95547  2295],[20909 95537  2293]
36,29957376,2022-11-17 14:28:59.843347+00:00,,t,49,72764443716783121,648518346484890781,72764443716803617,648518346496059082,[20887 95663  2285],[20933 95663  2286]
37,29957384,2022-11-17 14:28:59.843347+00:00,,t,15,72764443716829820,648518346484890781,72764443716816466,648518346496059082,[20961 95567  2293],[20941 95563  2292]
38,31345176,2022-11-17 14:28:59.843347+00:00,,t,28,72764443784091412,648518346484890781,72764443784087353,648518346496059082,[21731 94561  2433],[21723 94533  2433]
39,31345237,2022-11-17 14:28:59.843347+00:00,,t,27,72764443784033381,648518346484890781,72764443784072981,648518346496059082,[21755 95203  2419],[21763 95183  2422]
40,23688358,2022-11-17 14:28:59.843347+00:00,,t,36,72835156460905534,648518346479847574,72835156460910127,648518346496059082,[ 24103 105119   3002],[ 24125 105109   3002]
41,41382213,2022-11-17 14:28:59.843347+00:00,,t,34,72975893748207993,648518346506718754,72975893748228883,648518346496059082,[ 27047 104989   2687],[ 27025 105021   2688]
42,24737231,2022-11-17 14:28:59.843347+00:00,,t,17,72483312941359032,648518346491056675,72483312941359043,648518346496059082,[ 12977 105865   3349],[ 12999 105877   3349]
43,6045342,2022-11-17 14:28:59.843347+00:00,,t,31,72413218605565653,648518346494523112,72413218605562458,648518346496059082,[ 11079 112857   2556],[ 11049 112841   2557]
44,15308224,2022-11-17 14:28:59.843347+00:00,,t,35,72623843801353769,648518346486588292,72623843801357238,648518346496059082,[17573 99099  2442],[17551 99129  2442]
45,15308253,2022-11-17 14:28:59.843347+00:00,,t,13,72623843801485606,648518346486588292,72623843801526763,648518346496059082,[17607 99103  2446],[17591 99125  2448]
46,9526834,2022-11-17 14:28:59.843347+00:00,,t,33,72412943727530435,648518346496930276,72412943727522581,648518346496059082,[ 11403 105199   2493],[ 11369 105191   2494]
47,40914732,2022-11-17 14:28:59.843347+00:00,,t,14,72483175234102742,648518346509852105,72483175234107632,648518346496059082,[ 14121 102235   2892],[ 14111 102207   2892]
48,30590929,2022-11-17 14:28:59.843347+00:00,,t,25,72623843734552764,648518346494231291,72623843734537976,648518346496059082,[ 17699 100291   2373],[ 17693 100315   2372]
49,32066802,2022-11-17 14:28:59.843347+00:00,,t,44,72413081233657944,648518346494231291,72413081233663004,648518346496059082,[ 11179 110247   2638],[ 11211 110229   2639]
50,34440138,2022-11-17 14:28:59.843347+00:00,,t,59,72413149617607261,648518346494231291,72413149617602233,648518346496059082,[ 11655 111505   2020],[ 11675 111533   2020]
51,20741846,2022-11-17 14:28:59.843347+00:00,,t,43,72694281130937227,648518346494231291,72694281130939298,648518346496059082,[ 18891 101695   2219],[ 18927 101701   2220]
52,20741862,2022-11-17 14:28:59.843347+00:00,,t,30,72694281130933866,648518346494231291,72694281130939208,648518346496059082,[ 18969 101599   2223],[ 18993 101609   2223]
53,42512720,2022-11-17 14:28:59.843347+00:00,,t,25,72483037593847831,648518346486702383,72483037593857929,648518346496059082,[13885 96935  2503],[13895 96971  2503]
54,42455423,2022-11-17 14:28:59.843347+00:00,,t,47,72834950101310357,648518346463291339,72834950101295271,648518346496059082,[22775 98489  2620],[22797 98467  2621]
55,42512494,2022-11-17 14:28:59.843347+00:00,,t,56,72483037593814025,648518346465109621,72483037593826739,648518346496059082,[13661 96509  2494],[13653 96503  2497]
56,7116043,2022-11-17 14:28:59.843347+00:00,,t,36,72764512570454860,648518346494231291,72764512570457664,648518346496059082,[21033 96781  2471],[21031 96821  2471]
57,42718647,2022-11-17 14:28:59.843347+00:00,,t,16,72834881314638018,648518346493833976,72834881314630201,648518346496059082,[23073 97637  2471],[23069 97649  2470]
