,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
0,1641547,395949,18533214,18533217,[ 48756.37209302 100982.58139535   2683.        ],[ 48998.37209302 100961.80232558   2682.        ],"[48761.74418604652, 101001.41279069768, 2683.0]","[49011.74418604652, 100975.60465116281, 2682.0]",73679443751069553,73679443751047877,648518346497328001,648518346478173909
1,1701261,395949,18824760,8731978,[ 46804.14883721 104872.02325581   2809.        ],[ 46724.65116279 104923.02325581   2804.        ],"[46816.9465116279, 104901.56976744186, 2809.0]","[46735.552325581404, 104948.04651162791, 2804.0]",73609212512946468,73609212512927433,648518346491632145,648518346478173909
2,1646694,395949,18536415,8731973,[ 46857.09302326 104887.52093023   2804.        ],[ 46847.20930233 105046.97674419   2802.        ],"[46867.43604651163, 104910.79186046513, 2804.0]","[46856.12790697674, 105065.43023255814, 2802.0]",73609212512929979,73609212512920370,648518346491632145,648518346478173909
3,1637989,395949,18531370,18531368,[ 55965.         108032.39534884   1768.        ],[ 55964.         107914.39534884   1769.        ],"[55921.75, 107992.93604651162, 1768.0]","[55924.000000000015, 107875.04069767444, 1769.0]",73961124416413604,73961124416415971,648518346504748934,648518346502068297
4,1638025,395949,18531378,18530536,[ 56041.         107829.39534884   1769.        ],[ 56096.         107917.39534884   1769.        ],"[56001.5, 107795.04069767444, 1769.0]","[56056.75, 107881.93604651162, 1769.0]",73961124416413522,73961124416413547,648518346497577462,648518346502068297
5,1638404,395949,18531634,18530508,[ 56738.5        108306.39534884   1764.        ],[ 56902.         108066.39534884   1765.        ],"[56684.75, 108270.43604651166, 1764.0]","[56852.50000000002, 108039.68604651166, 1765.0]",73961124416406446,73961124416396690,648518346509889850,648518346435249287
6,1638435,395949,18531641,18530225,[ 57532.         108505.39534884   1771.        ],[ 57779.49767442 108781.39534884   1771.        ],"[57471.50000000002, 108482.93604651166, 1771.0]","[57706.99302325582, 108754.18604651166, 1771.0]",74031493160634183,74031561880076417,648518346483425700,648518346478173909
7,1638446,395949,18531644,18530161,[ 58233.5        109225.39534884   1836.        ],[ 58276.5        109167.39534884   1836.        ],"[58126.75, 109204.18604651166, 1836.0]","[58170.25000000002, 109145.18604651162, 1836.0]",74031561946981128,74031561946981081,648518346497571830,648518346478173909
8,1638472,395949,18531650,18530137,[ 58905.16744186 109377.06511628   1863.        ],[ 59047.         109351.39534884   1863.        ],"[58799.5023255814, 109360.69534883722, 1863.0]","[58944.25000000002, 109334.18604651166, 1863.0]",74031561947051534,74031561947056228,648518346491556776,648518346489664108
9,1638498,395949,18531658,18530031,[ 60058.49302326 109980.39534884   1924.        ],[ 59942.99069767 109950.39534884   1924.        ],"[59968.72906976743, 109956.68604651166, 1924.0]","[59850.72209302325, 109935.18604651166, 1924.0]",74101930691425168,74101930691469314,648518346467165191,648518346478173909
10,1638539,395949,18531667,18529968,[ 60480.98837209 110773.39534884   2046.        ],[ 60839.48837209 110762.39534884   2046.        ],"[60383.46511627907, 110733.43604651162, 2046.0]","[60737.71511627907, 110715.68604651162, 2046.0]",74101999477970970,74101999477989136,648518346465917744,648518346478173909
11,1638570,395949,18531675,18531674,[ 60666.48837209 110977.89302326   2080.        ],[ 60930.98837209 110913.89534884   2078.        ],"[60585.726744186046, 110971.03604651164, 2080.0]","[60849.476744186046, 110902.54069767444, 2078.0]",74101999544854636,74101999544854592,648518346511423797,648518346478173909
12,1638631,395949,18531695,18531694,[ 62301.77209302 111063.22790698   2267.        ],[ 62262.97209302 110937.00465116   2267.        ],"[62222.29418604652, 111054.45581395351, 2267.0]","[62183.19418604653, 110929.00930232558, 2267.0]",74172368356289670,74172368356291944,648518346492932016,648518346478173909
13,1638667,395949,18531704,18531703,[ 62358.4744186  111107.44883721   2288.        ],[ 62291.97674419 110893.45116279   2288.        ],"[62274.198837209304, 111123.64767441864, 2288.0]","[62211.20348837209, 110905.90232558141, 2288.0]",74172368356326110,74172368356325994,648518346492932016,648518346478173909
14,1638704,395949,18531725,18531724,[ 62781.34418605 110933.8744186    2493.        ],[ 62898.99069767 110913.20465116   2490.        ],"[62786.938372093035, 110945.4988372093, 2493.0]","[62909.731395348834, 110917.9093023256, 2490.0]",74172368490399434,74172368490391829,648518346486764003,648518346478173909
15,1638745,395949,18531735,18531734,[ 62943.46046512 110844.89069767   2496.        ],[ 62904.10697674 110935.21860465   2496.        ],"[62952.63139534884, 110853.6720930233, 2496.0]","[62912.21395348836, 110944.43720930233, 2496.0]",74172368490399423,74172368490416391,648518346494222706,648518346478173909
16,1638756,395949,18531739,18531738,[ 62944.89767442 110629.17209302   2515.        ],[ 62924.04651163 110934.           2514.        ],"[62965.795348837215, 110669.34418604651, 2515.0]","[62939.84302325583, 110967.25000000003, 2514.0]",74172368490428488,74172368490416391,648518346494222706,648518346478173909
17,1638791,395949,18531748,18531747,[ 63224.57209302 110811.90697674   2582.        ],[ 63124.93023256 110911.81395349   2582.        ],"[63173.71627906975, 110834.9709302326, 2582.0]","[63075.11046511629, 110934.62790697676, 2582.0]",74172368557399786,74172368557192101,648518346491775222,648518346478173909
18,1638833,395949,18531771,18531770,[ 62758.24883721 110545.35581395   2714.        ],[ 63013.37209302 110627.09302326   2714.        ],"[62765.9965116279, 110612.3174418605, 2714.0]","[63025.24418604652, 110692.18604651163, 2714.0]",74172368624520238,74172368624515218,648518346465910320,648518346478173909
19,1638869,395949,18531780,18531779,[ 62738.65581395 110078.14651163   2770.        ],[ 62710.23255814 110250.58139535   2770.        ],"[62754.46744186045, 110158.93953488374, 2770.0]","[62724.71511627907, 110331.16279069768, 2770.0]",74172299905174421,74172299905205916,648518346467165191,648518346478173909
20,1638900,395949,18531792,8731629,[ 62654.38139535 109795.89302326   2873.        ],[ 62648.60465116 109664.65116279   2874.        ],"[62615.77558139537, 109830.57209302328, 2873.0]","[62617.31395348838, 109700.7034883721, 2874.0]",74172299972227684,74172299972242455,648518346467165191,648518346478173909
21,1638926,395949,18531806,18531805,[ 62301.54883721 108269.86046512   3044.        ],[ 62375.29069767 108637.20930233   3044.        ],"[62305.597674418605, 108309.72093023258, 3044.0]","[62385.37209302326, 108678.87790697676, 3044.0]",74172231319982163,74172300039451050,648518346489623903,648518346478173909
22,1639223,395949,18532173,18532172,[60074.30232558 98319.65116279  3067.        ],[60457.79069767 98579.06976744  3069.        ],"[60009.40697674419, 98322.7034883721, 3067.0]","[60379.12209302326, 98577.95930232559, 3069.0]",74101587697936192,74101587697948605,648518346514412231,648518346478173909
23,1639245,395949,18532183,18532182,[60230.19534884 98346.6744186   3076.        ],[60557.5        98559.53488372  3076.        ],"[60156.08604651163, 98344.77325581397, 3076.0]","[60479.5, 98550.1046511628, 3076.0]",74101587697992296,74101587697964095,648518346514412231,648518346478173909
24,1639261,395949,18532194,18532193,[58415.2255814  98894.19302326  2945.        ],[58825.34883721 98962.3255814   2945.        ],"[58395.951162790705, 98908.13604651164, 2945.0]","[58800.39534883722, 98976.80232558143, 2945.0]",74031218886713565,74031218886761859,648518346491556776,648518346478173909
25,1639292,395949,18532212,18532211,[57584.14883721 98326.55813953  2871.        ],[57815.15581395 98377.05581395  2871.        ],"[57514.1965116279, 98323.92441860466, 2871.0]","[57739.46744186049, 98370.9174418605, 2871.0]",74031218886523731,74031218886526584,648518346517416808,648518346478173909
26,1639333,395949,18532227,8731442,[56831.06511628 97477.69767442  2784.        ],[56803.48837209 97650.23255814  2784.        ],"[56775.6953488372, 97455.84302325583, 2784.0]","[56751.46511627907, 97632.19767441862, 2784.0]",73960781355869981,73960781355867595,648518346480266148,648518346478173909
27,1639374,395949,18532236,8732376,[56373.70232558 97443.68372093  2774.        ],[56481.86046512 97578.13953488  2774.        ],"[56333.856976744195, 97420.80116279074, 2774.0]","[56439.08139534885, 97552.41860465117, 2774.0]",73960781355837337,73960781355839944,648518346502822899,648518346478173909
28,1639385,395949,18532240,18532239,[56360.49767442 97308.8744186   2762.        ],[56535.25116279 97521.99069767  2762.        ],"[56324.74534883723, 97302.7488372093, 2762.0]","[56503.7523255814, 97520.98139534885, 2762.0]",73960781355817032,73960781355839942,648518346502822899,648518346478173909
29,1639397,395949,18532260,18524269,[ 47483.70697674 103586.75813953   3221.        ],[ 47659.37209302 103582.09302326   3221.        ],"[47398.62093023256, 103607.77441860465, 3221.0]","[47570.616279069756, 103603.77906976745, 3221.0]",73679512805742349,73679512805777039,648518346494792867,648518346493890161
30,1639433,395949,18532271,18532270,[ 47162.37209302 103583.09302326   3205.        ],[ 47505.62093023 103683.09302326   3205.        ],"[47088.11627906978, 103587.27906976745, 3205.0]","[47420.49186046513, 103695.68604651163, 3205.0]",73609143994784537,73679512738987360,648518346500389336,648518346493890161
31,1639464,395949,18532278,18524281,[ 47076.87209302 103345.21860465   3157.        ],[ 47184.37209302 103543.09302326   3157.        ],"[47032.494186046504, 103342.18720930233, 3157.0]","[47138.116279069756, 103542.52906976745, 3157.0]",73609143994653632,73679512738852807,648518346497328001,648518346478173909
32,1639782,395949,18532681,18524012,[ 46773.37209302 103039.09302326   3058.        ],[ 46870.37209302 103269.09302326   3058.        ],"[46756.48837209304, 103058.12209302327, 3058.0]","[46846.86627906978, 103286.02906976745, 3058.0]",73609143927643391,73609143927654193,648518346490330972,648518346478173909
33,1639813,395949,18532688,18523941,[ 46865.87209302 103830.09302326   2982.        ],[ 46871.37209302 104037.09302326   2982.        ],"[46839.23837209304, 103882.37209302327, 2982.0]","[46841.36627906978, 104094.27906976745, 2982.0]",73609143927470488,73609143927454021,648518346497328001,648518346478173909
