,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
0,13044243,2022-11-17 14:28:59.843347+00:00,,t,24,73819975282191681,648518346497366296,73819975282174175,648518346478173909,[52185 95641  3007],[52199 95677  3007]
1,8630151,2022-11-17 14:28:59.843347+00:00,,t,39,73820043800453459,648518346497366296,73820043800469283,648518346478173909,[51341 96611  2689],[51351 96643  2689]
2,13125026,2022-11-17 14:28:59.843347+00:00,,t,13,73890343824975426,648518346497366296,73890343824985451,648518346478173909,[54243 94559  2610],[54251 94533  2610]
3,4866626,2022-11-17 14:28:59.843347+00:00,,t,26,73890344093398087,648518346497366296,73890344093389172,648518346478173909,[53981 95005  3118],[53989 95045  3119]
4,5267710,2022-11-17 14:28:59.843347+00:00,,t,33,74172162734531419,648518346499537502,74172162734557816,648518346478173909,[ 62075 105981   3252],[ 62105 105963   3253]
5,20495767,2022-11-17 14:28:59.843347+00:00,,t,39,73890275105585296,648518346497366296,73890275105595573,648518346478173909,[54165 93225  2658],[54159 93201  2659]
6,39434161,2022-11-17 14:28:59.843347+00:00,,t,22,73960850008128991,648518346497366296,73960850008144679,648518346478173909,[55931 98419  2634],[55905 98409  2634]
7,40550259,2022-11-17 14:28:59.843347+00:00,,t,16,73890275038350902,648518346497366296,73890275038358769,648518346478173909,[53741 92183  2475],[53705 92187  2477]
8,43856740,2022-11-17 14:28:59.843347+00:00,,t,28,73961124416404009,648518346500455861,73961124416408843,648518346478173909,[ 55333 108177   1767],[ 55359 108171   1767]
9,966032,2022-11-17 14:28:59.843347+00:00,,t,25,73609212579986523,648518346497328001,73609212579971636,648518346478173909,[ 45943 104731   2911],[ 45975 104727   2912]
10,14884693,2022-11-17 14:28:59.843347+00:00,,t,37,73890275105561134,648518346497328001,73890275105574586,648518346478173909,[54301 92881  2651],[54317 92855  2652]
11,14884710,2022-11-17 14:28:59.843347+00:00,,t,16,73890275105603019,648518346497328001,73890275105605662,648518346478173909,[54333 92891  2659],[54331 92923  2659]
12,19008799,2022-11-17 14:28:59.843347+00:00,,t,35,73820112452810553,648518346497328001,73820112452818266,648518346478173909,[53175 99369  2556],[53203 99351  2557]
13,15517345,2022-11-17 14:28:59.843347+00:00,,t,36,73820043800445305,648518346497328001,73820043800502525,648518346478173909,[52999 97769  2691],[52983 97795  2692]
14,15988556,2022-11-17 14:28:59.843347+00:00,,t,45,73890412544631672,648518346497328001,73890412544629267,648518346478173909,[53683 97931  2677],[53661 97905  2677]
15,25209335,2022-11-17 14:28:59.843347+00:00,,t,34,73609143860537701,648518346497328001,73609143860573986,648518346478173909,[ 46551 104415   2930],[ 46549 104419   2932]
16,4304307,2022-11-17 14:28:59.843347+00:00,,t,54,73890549983571432,648518346477790990,73890549983562222,648518346478173909,[ 54709 101171   2665],[ 54733 101189   2665]
17,43856939,2022-11-17 14:28:59.843347+00:00,,t,19,73961124416379618,648518346489893207,73961124416408480,648518346478173909,[ 55807 107547   1756],[ 55785 107559   1758]
18,26487606,2022-11-17 14:28:59.843347+00:00,,t,36,73961124416311548,648518346489893207,73961124416296585,648518346478173909,[ 56317 107359   1722],[ 56337 107383   1722]
19,8630366,2022-11-17 14:28:59.843347+00:00,,t,19,73820043800484659,648518346497366296,73820043800464560,648518346478173909,[51565 96663  2692],[51575 96637  2691]
20,4866654,2022-11-17 14:28:59.843347+00:00,,t,17,73890344093389153,648518346497366296,73890344093378037,648518346478173909,[54021 95001  3116],[54027 95035  3117]
21,11342397,2022-11-17 14:28:59.843347+00:00,,t,14,73890344093318640,648518346497366296,73890344093175862,648518346478173909,[53749 95901  3089],[53735 95885  3088]
22,36075640,2022-11-17 14:28:59.843347+00:00,,t,44,73890343959309460,648518346497366296,73890343959309438,648518346478173909,[54183 95615  2912],[54193 95581  2912]
23,22802295,2022-11-17 14:28:59.843347+00:00,,t,17,73819975349256785,648518346515812858,73819975349246257,648518346478173909,[52613 95721  3130],[52627 95753  3130]
24,16042258,2022-11-17 14:28:59.843347+00:00,,t,18,73961262392308025,648518346479582400,73961262392322934,648518346478173909,[ 56613 112241   2821],[ 56643 112237   2821]
25,5811818,2022-11-17 14:28:59.843347+00:00,,t,16,73890549916532230,648518346490434652,73890549916508256,648518346478173909,[ 54919 101365   2568],[ 54909 101327   2568]
26,27163101,2022-11-17 14:28:59.843347+00:00,,t,65,73890343825155866,648518346490434652,73890343825164097,648518346478173909,[54321 95621  2680],[54293 95613  2681]
27,42780181,2022-11-17 14:28:59.843347+00:00,,t,13,73890343959301392,648518346497048472,73890343959298777,648518346478173909,[54733 95791  2902],[54717 95815  2904]
28,22649373,2022-11-17 14:28:59.843347+00:00,,t,17,73961262392141155,648518346479582400,73961262392095358,648518346478173909,[ 55301 111695   2753],[ 55333 111683   2753]
29,8630463,2022-11-17 14:28:59.843347+00:00,,t,14,73820043800271074,648518346490434652,73820043800253978,648518346478173909,[51669 96841  2609],[51663 96813  2610]
30,17667004,2022-11-17 14:28:59.843347+00:00,,t,17,73749675123443431,648518346494696875,73749675123424024,648518346478173909,[51077 96913  2818],[51071 96883  2818]
31,8081196,2022-11-17 14:28:59.843347+00:00,,t,18,73609212512913439,648518346491632145,73609212512920370,648518346478173909,[ 46785 104965   2797],[ 46759 104965   2799]
32,8081266,2022-11-17 14:28:59.843347+00:00,,t,36,73609212512897011,648518346491632145,73609212512920370,648518346478173909,[ 46887 105033   2802],[ 46865 105065   2802]
33,14884882,2022-11-17 14:28:59.843347+00:00,,t,17,73890275105675745,648518346475573684,73890275105665807,648518346478173909,[54545 93183  2689],[54567 93167  2688]
34,3798264,2022-11-17 14:28:59.843347+00:00,,t,20,73890274837273876,648518346467165191,73890274837267822,648518346478173909,[53897 92763  2179],[53881 92735  2180]
35,3798299,2022-11-17 14:28:59.843347+00:00,,t,28,73890274837197456,648518346489559639,73890274837212815,648518346478173909,[53965 92655  2149],[53939 92677  2150]
36,6503793,2022-11-17 14:28:59.843347+00:00,,t,20,73819975013850589,648518346490434652,73819975013878710,648518346478173909,[52225 96171  2540],[52209 96155  2542]
37,8081191,2022-11-17 14:28:59.843347+00:00,,t,38,73609212512932718,648518346497328001,73609212512946841,648518346478173909,[ 46753 105297   2811],[ 46757 105327   2812]
38,24478058,2022-11-17 14:28:59.843347+00:00,,t,16,73960643849662804,648518346478528340,73960643849621947,648518346478173909,[55357 92913  2606],[55335 92899  2606]
39,24478123,2022-11-17 14:28:59.843347+00:00,,t,27,73960643849652718,648518346479717014,73960643849642971,648518346478173909,[55523 93185  2609],[55501 93175  2608]
40,30955213,2022-11-17 14:28:59.843347+00:00,,t,22,73890274904319445,648518346467165191,73890274904335342,648518346478173909,[54189 92943  2293],[54211 92965  2293]
41,18687570,2022-11-17 14:28:59.843347+00:00,,t,21,73960575130365945,648518346524168965,73960575130410520,648518346478173909,[55611 91977  2677],[55637 91965  2678]
42,4303886,2022-11-17 14:28:59.843347+00:00,,t,34,73890549983436966,648518346494222706,73890549983422459,648518346478173909,[ 54391 100605   2612],[ 54363 100597   2612]
43,4303887,2022-11-17 14:28:59.843347+00:00,,t,35,73890549983427407,648518346494222706,73890549983422459,648518346478173909,[ 54397 100647   2606],[ 54365 100635   2607]
44,4303916,2022-11-17 14:28:59.843347+00:00,,t,55,73890549983476387,648518346494222706,73890549983451981,648518346478173909,[ 54427 100659   2622],[ 54399 100641   2622]
45,4303922,2022-11-17 14:28:59.843347+00:00,,t,66,73890549983476387,648518346494222706,73890549983473692,648518346478173909,[ 54429 100691   2627],[ 54399 100675   2627]
46,4303808,2022-11-17 14:28:59.843347+00:00,,t,19,73890549983538311,648518346497968794,73890549983516323,648518346478173909,[ 54293 101243   2643],[ 54295 101277   2642]
47,4303861,2022-11-17 14:28:59.843347+00:00,,t,12,73890549983526112,648518346497968794,73890549983518857,648518346478173909,[ 54339 101339   2647],[ 54345 101321   2645]
48,1915087,2022-11-17 14:28:59.843347+00:00,,t,12,74172231386990918,648518346514074334,74172231386988373,648518346478173909,[ 62217 108441   3143],[ 62199 108421   3143]
49,7292357,2022-11-17 14:28:59.843347+00:00,,t,27,74031493160602141,648518346467165191,73961124416402279,648518346478173909,[ 57361 108513   1761],[ 57333 108507   1763]
50,15138350,2022-11-17 14:28:59.843347+00:00,,t,12,73679581122908162,648518346504748934,73679581122897795,648518346478173909,[ 49021 104517   2552],[ 49061 104507   2552]
51,13124822,2022-11-17 14:28:59.843347+00:00,,t,14,73890343825042592,648518346497328001,73890343825039978,648518346478173909,[53959 94345  2633],[53997 94351  2633]
52,566274,2022-11-17 14:28:59.843347+00:00,,t,32,73890206386193955,648518346483283902,73890206386220398,648518346478173909,[53831 91895  2681],[53811 91873  2681]
53,566299,2022-11-17 14:28:59.843347+00:00,,t,26,73890206386183782,648518346483283902,73890206386220398,648518346478173909,[53865 91891  2682],[53843 91871  2683]
54,8630360,2022-11-17 14:28:59.843347+00:00,,t,25,73820043800249230,648518346490434652,73820043800263334,648518346478173909,[51587 96867  2606],[51569 96845  2608]
55,12858624,2022-11-17 14:28:59.843347+00:00,,t,54,73890481196987377,648518346479717014,73890481196982058,648518346478173909,[53307 99269  2555],[53307 99307  2555]
56,14884925,2022-11-17 14:28:59.843347+00:00,,t,23,73890275105537573,648518346479717014,73890275105550168,648518346478173909,[54635 92615  2634],[54625 92595  2635]
57,28025759,2022-11-17 14:28:59.843347+00:00,,t,14,73749605933889616,648518346467165191,73749605933864593,648518346478173909,[50589 94697  1811],[50613 94719  1811]
58,38685887,2022-11-17 14:28:59.843347+00:00,,t,34,73819975013760646,648518346479717014,73819975013758131,648518346478173909,[52423 95669  2504],[52405 95689  2504]
59,8519315,2022-11-17 14:28:59.843347+00:00,,t,15,73960643849712500,648518346466654318,73960643849698854,648518346478173909,[56143 93495  2627],[56169 93523  2628]
