,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
0,1117984,735491,16693862,16693864,[ 60419.00465116 110213.51162791   2804.        ],[ 60413.00465116 110073.51162791   2804.        ],"[60436.513953488386, 110253.53488372093, 2804.0]","[60433.75930232559, 110108.02325581395, 2804.0]",74101931161103187,74101931161119988,648518346494080626,648518346494774179
1,1118034,735491,16693891,15886241,[ 60390.00465116 109831.49767442   2805.        ],[ 60542.24883721 109568.00930233   2805.        ],"[60413.759302325576, 109862.24534883723, 2805.0]","[60568.74651162792, 109592.52790697677, 2805.0]",74101931161102997,74101931161093001,648518346494334440,648518346494774179
2,1123624,735491,16697241,16697245,[ 58321.31627907 106510.32093023   2541.        ],[ 58433.31860465 106451.31627907   2541.        ],"[58331.198837209304, 106524.21279069771, 2541.0]","[58442.955813953486, 106465.9488372093, 2541.0]",74031493563259941,74031424843757468,648518346502436642,648518346494774179
3,1165566,735491,17727116,17727118,[ 56022.50465116 104912.           2267.        ],[ 56107.16976744 104902.21627907   2267.        ],"[56020.509302325576, 104932.0, 2267.0]","[56101.33953488372, 104920.68255813955, 2267.0]",73961055965374297,73961055965376628,648518346494184050,648518346494774179
4,1174902,735491,17739452,17739454,[ 61207.3255814  109492.21627907   2455.        ],[ 61521.62790698 109684.00465116   2455.        ],"[61218.1511627907, 109492.18255813955, 2455.0]","[61536.755813953496, 109681.25930232558, 2455.0]",74101931026644714,74172299770819759,648518346489293509,648518346494774179
5,1184367,735491,17921966,17918691,[ 54183.24418605 109064.2744186    1672.        ],[ 53995.74418605 108944.52093023   1672.        ],"[54149.982558139556, 109023.32325581399, 1672.0]","[53966.732558139556, 108903.3127906977, 1672.0]",73890824324695734,73890824324695063,648518346492163523,648518346485769464
6,1184413,735491,17921976,17918685,[ 54094.23953488 109066.00930233   1681.        ],[ 54055.23953488 109005.51162791   1681.        ],"[54076.96860465117, 109031.02790697677, 1681.0]","[54038.71860465117, 108969.78488372093, 1681.0]",73890824391259107,73890824391468049,648518346492163523,648518346504691750
7,1184433,735491,17921983,17921982,[ 54513.99302326 108959.6372093    1741.        ],[ 54433.99302326 109103.13953488   1741.        ],"[54503.229069767454, 108890.91162790697, 1741.0]","[54421.979069767454, 109032.66860465117, 1741.0]",73890824391669003,73890824391673714,648518346506426914,648518346504691750
8,1184450,735491,17921988,17921987,[ 54597.34418605 109248.4744186    1748.        ],[ 54494.74418605 109191.81395349   1748.        ],"[54577.68837209302, 109184.69883720932, 1748.0]","[54475.23837209302, 109127.62790697673, 1748.0]",73890824391681157,73890824391688604,648518346497445445,648518346504691750
9,1184471,735491,17921994,17921993,[ 54560.20697674 109111.11162791   1756.        ],[ 54573.24186047 109271.75813953   1756.        ],"[54536.37093023258, 109045.33488372095, 1756.0]","[54548.72558139535, 109206.02441860465, 1756.0]",73890824391666976,73890824391688631,648518346506426914,648518346504691750
10,1184492,735491,17922000,17921999,[ 54686.99069767 109258.37906977   1765.        ],[ 54782.99069767 109371.88372093   1765.        ],"[54666.231395348834, 109207.25813953491, 1765.0]","[54759.72209302325, 109320.40116279069, 1765.0]",73890824391716556,73890824391719119,648518346506426914,648518346504691750
11,1184528,735491,17922008,17918559,[ 55189.75348837 109703.50232558   1797.        ],[ 55296.75116279 109694.           1797.        ],"[55180.510465116284, 109670.0069767442, 1797.0]","[55284.0023255814, 109660.25, 1797.0]",73890824391940127,73890824391819672,648518346504748934,648518346504691750
12,1184544,735491,17922012,17918551,[ 55788.25116279 110065.50232558   1800.        ],[ 55730.75116279 109945.74883721   1800.        ],"[55764.5023255814, 110037.00465116277, 1800.0]","[55707.7523255814, 109918.24767441861, 1800.0]",73961193135993764,73961193135940834,648518346489559639,648518346504691750
13,1184568,735491,17922039,17922038,[ 57774.58604651 109736.9627907    1870.        ],[ 57598.87674419 109659.00465116   1870.        ],"[57712.50813953488, 109720.88837209305, 1870.0]","[57540.00348837211, 109640.75930232558, 1870.0]",74031561947108977,74031561947063626,648518346489559639,648518346494774179
14,1184594,735491,17922052,17922051,[ 58248.21860465 109449.83255814   1919.        ],[ 57956.93255814 109616.43255814   1919.        ],"[58170.40581395349, 109453.24767441864, 1919.0]","[57893.547674418616, 109625.04767441862, 1919.0]",74031561947149842,74031561947200526,648518346489893207,648518346494774179
15,1184610,735491,17922060,17922059,[ 57938.48837209 109465.97674419   1932.        ],[ 58182.55116279 109596.25581395   1932.        ],"[57877.21511627907, 109475.93023255818, 1932.0]","[58111.90348837211, 109608.76744186049, 1932.0]",74031562013852528,74031562013926985,648518346494550760,648518346494774179
16,1184631,735491,17922078,15882803,[ 59516.81627907 108906.10465116   2003.        ],[ 59261.00232558 108946.75813953   2003.        ],"[59429.882558139536, 108909.45930232559, 2003.0]","[59176.75697674418, 108952.52441860465, 2003.0]",74101930758352493,74031562014197660,648518346484795213,648518346494774179
17,1184652,735491,17922090,17922089,[ 59604.15813953 108620.59534884   2170.        ],[ 59806.03255814 108579.78139535   2170.        ],"[59582.97441860465, 108615.03604651165, 2170.0]","[59772.59767441861, 108578.59418604651, 2170.0]",74101930825586616,74101930825572764,648518346466522478,648518346494774179
18,1184699,735491,17922101,17922100,[ 59847.23488372 108492.49302326   2210.        ],[ 59932.48604651 108581.90697674   2210.        ],"[59793.454651162785, 108513.97906976743, 2210.0]","[59873.70813953489, 108606.7209302326, 2210.0]",74101862173000500,74101930892413742,648518346497122476,648518346494774179
19,1184719,735491,17922107,17922106,[ 59718.38372093 108678.69767442   2214.        ],[ 59938.42325581 108576.53488372   2214.        ],"[59665.40116279069, 108698.84302325583, 2214.0]","[59887.76976744187, 108605.3546511628, 2214.0]",74101930892433503,74101930892413742,648518346500393432,648518346494774179
20,1184736,735491,17922112,17922111,[ 60293.23255814 108470.40697674   2256.        ],[ 60062.93488372 108551.24186047   2256.        ],"[60235.68023255814, 108487.62790697673, 2256.0]","[60008.369767441865, 108564.98372093026, 2256.0]",74101862173121629,74101930892551645,648518346477158088,648518346494774179
21,1184806,735491,17922128,17922127,[ 60241.51627907 108778.17674419   2275.        ],[ 60147.31162791 108556.46511628   2275.        ],"[60200.28255813953, 108796.10348837209, 2275.0]","[60103.62325581396, 108578.68023255814, 2275.0]",74101930892594103,74101930892593825,648518346492691190,648518346494774179
22,1184818,735491,17922135,17922134,[ 60082.09767442 108319.18604651   2284.        ],[ 60208.34651163 108561.95348837   2284.        ],"[60031.19534883721, 108350.62209302327, 2284.0]","[60154.94302325582, 108594.65697674421, 2284.0]",74101862173188559,74101930892593271,648518346496143050,648518346494774179
23,1184834,735491,17922140,17922139,[ 60086.16976744 108492.60930233   2304.        ],[ 60322.87906977 108606.72093023   2304.        ],"[60018.75930232558, 108515.82790697674, 2304.0]","[60259.137209302346, 108626.6627906977, 2304.0]",74101862173242932,74101930892795556,648518346486565581,648518346494774179
24,1184864,735491,17922148,17922147,[ 60263.22325581 108720.41395349   2303.        ],[ 60317.50465116 108603.93953488   2303.        ],"[60196.143023255805, 108742.65581395355, 2303.0]","[60253.263953488364, 108622.56860465118, 2303.0]",74101930892680058,74101930892795556,648518346497122476,648518346494774179
25,1184886,735491,17922154,17922153,[ 60422.14651163 108444.87674419   2311.        ],[ 60372.59534884 108603.21860465   2311.        ],"[60366.93953488374, 108456.63023255812, 2311.0]","[60312.53604651163, 108617.40581395353, 2311.0]",74101862173280872,74101930892674490,648518346477158088,648518346494774179
26,1184922,735491,17922162,15882782,[ 60311.41860465 108671.97674419   2321.        ],[ 60446.50465116 108592.74418605   2321.        ],"[60256.587209302335, 108689.70348837209, 2321.0]","[60393.25930232559, 108608.23837209304, 2321.0]",74101930959488604,74101930959539858,648518346500527064,648518346494774179
27,1184953,735491,17922170,17922169,[ 60340.76976744 108546.1255814    2333.        ],[ 60464.12790698 108572.87906977   2333.        ],"[60297.53953488372, 108564.25116279072, 2333.0]","[60419.505813953496, 108591.00813953488, 2333.0]",74101930959542476,74101930959572564,648518346500527064,648518346494774179
28,1185000,735491,17922182,17922181,[ 60594.86511628 108653.94651163   2342.        ],[ 60463.98604651 108554.53488372   2342.        ],"[60559.09534883723, 108675.33953488371, 2342.0]","[60433.97209302327, 108579.06976744186, 2342.0]",74101930959578236,74101930959591060,648518346511876543,648518346494774179
