,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
0,42124556,2022-11-17 14:28:59.843347+00:00,,t,30,73820043867173106,648518346499756499,73820043867223319,648518346494774179,[51265 98185  2701],[51227 98181  2701]
1,40893715,2022-11-17 14:28:59.843347+00:00,,t,43,74101724801124597,648518346491556776,74101724801145720,648518346494774179,[ 61217 103783   2329],[ 61185 103799   2330]
2,42232099,2022-11-17 14:28:59.843347+00:00,,t,57,73960712300803238,648518346484632909,73960712300820461,648518346494774179,[56703 95137  2135],[56671 95121  2136]
3,6220439,2022-11-17 14:28:59.843347+00:00,,t,27,73609143994467347,648518346481875645,73609143994503528,648518346494774179,[ 47079 103207   3093],[ 47045 103207   3095]
4,16928637,2022-11-17 14:28:59.843347+00:00,,t,17,73609212579977120,648518346481875645,73609212579984491,648518346494774179,[ 46177 105355   2911],[ 46189 105335   2910]
5,16928888,2022-11-17 14:28:59.843347+00:00,,t,22,73609212579867550,648518346481875645,73609212579885318,648518346494774179,[ 46541 105371   2872],[ 46563 105403   2873]
6,42238554,2022-11-17 14:28:59.843347+00:00,,t,57,74031287673136539,648518346493805304,74031287673126492,648518346494774179,[ 59289 100819   3009],[ 59315 100839   3009]
7,42240898,2022-11-17 14:28:59.843347+00:00,,t,21,73749537348694192,648518346483510959,73749537348686111,648518346494774179,[49777 92767  2093],[49759 92813  2094]
8,42264080,2022-11-17 14:28:59.843347+00:00,,t,36,73609418335775815,648518346507041438,73609418335785664,648518346494774179,[ 45533 111291   2140],[ 45549 111265   2140]
9,42264153,2022-11-17 14:28:59.843347+00:00,,t,33,73609418335825611,648518346503974862,73609418335836024,648518346494774179,[ 45655 111233   2164],[ 45649 111265   2165]
10,42313537,2022-11-17 14:28:59.843347+00:00,,t,37,73890755940680649,648518346506426914,73890755940688845,648518346494774179,[ 53589 107075   2289],[ 53609 107065   2291]
11,42313577,2022-11-17 14:28:59.843347+00:00,,t,22,73890755940665159,648518346506426914,73890755940670552,648518346494774179,[ 53659 107121   2284],[ 53681 107115   2285]
12,42313621,2022-11-17 14:28:59.843347+00:00,,t,32,73890755940713090,648518346486520964,73890755940801042,648518346494774179,[ 53743 107223   2302],[ 53735 107203   2304]
13,42313420,2022-11-17 14:28:59.843347+00:00,,t,32,73890755940659717,648518346506426914,73890755940670639,648518346494774179,[ 53445 107165   2281],[ 53421 107201   2281]
14,3716369,2022-11-17 14:28:59.843347+00:00,,t,73,73749881348905282,648518346509841865,73749881348916654,648518346494774179,[ 50609 104381   2929],[ 50637 104361   2930]
15,527902,2022-11-17 14:28:59.843347+00:00,,t,30,73961262459222541,648518346509841865,73961262459227587,648518346494774179,[ 57291 112309   2893],[ 57261 112293   2893]
16,14961240,2022-11-17 14:28:59.843347+00:00,,t,44,73820524433968344,648518346509841865,73820524433996339,648518346494774179,[ 53233 111339   1855],[ 53219 111363   1856]
17,14731165,2022-11-17 14:28:59.843347+00:00,,t,30,73890824928721796,648518346509841865,73890824928690913,648518346494774179,[ 54769 110323   2822],[ 54741 110319   2821]
18,25599680,2022-11-17 14:28:59.843347+00:00,,t,25,73820524903793897,648518346509841865,73820524903812917,648518346494774179,[ 52917 111797   2780],[ 52929 111775   2781]
19,28812687,2022-11-17 14:28:59.843347+00:00,,t,34,73961331178704442,648518346509841865,73961331178697189,648518346494774179,[ 56717 112867   2891],[ 56707 112837   2891]
20,33248580,2022-11-17 14:28:59.843347+00:00,,t,44,73679580988637175,648518346509841865,73679580988637133,648518346494774179,[ 47307 105219   2283],[ 47281 105203   2283]
21,33248618,2022-11-17 14:28:59.843347+00:00,,t,51,73679580988646805,648518346509841865,73679580988637104,648518346494774179,[ 47349 105183   2283],[ 47335 105155   2283]
22,33248771,2022-11-17 14:28:59.843347+00:00,,t,31,73679580988557692,648518346509841865,73679580988519267,648518346494774179,[ 47541 105291   2241],[ 47529 105263   2241]
