,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
0,1098346,710143,16664507,16664505,[ 50466.75581395 112733.51162791   2206.        ],[ 50465.75581395 112590.51162791   2206.        ],"[50411.517441860466, 112740.78488372093, 2206.0]","[50409.517441860466, 112597.53488372093, 2206.0]",73750224610525382,73750155891060203,648518346499234142,648518346481055200
1,1103499,710143,16671850,15570020,[ 57266.00232558 112764.50697674   2518.        ],[ 57123.50232558 112829.00465116   2519.        ],"[57276.50465116279, 112758.76395348838, 2518.0]","[57136.25697674418, 112824.76395348836, 2519.0]",73961330977388431,73961330977380319,648518346507309433,648518346481055200
2,1103530,710143,16671857,16664497,[ 50608.24418605 112633.00930233   2184.        ],[ 50472.74651163 112851.51162791   2183.        ],"[50547.732558139556, 112631.77790697677, 2184.0]","[50421.489534883716, 112845.28488372093, 2183.0]",73750155824240029,73750224543699545,648518346499234142,648518346481055200
3,1103565,710143,16671867,16671866,[ 57454.95581395 112782.15813953   2551.        ],[ 57608.65116279 112742.35348837   2551.        ],"[57450.911627906986, 112790.56627906978, 2551.0]","[57602.802325581404, 112752.7069767442, 2551.0]",74031699721640902,74031699721643478,648518346481055200,648518346481055200
4,1103577,710143,16671876,16671875,[ 58484.55348837 111927.41395349   2593.        ],[ 58759.05116279 111692.90697674   2593.        ],"[58444.66046511627, 111973.99186046512, 2593.0]","[58717.60232558141, 111739.8139534884, 2593.0]",74031631069079561,74031631069076958,648518346501642569,648518346481055200
5,1103585,710143,16671898,16671897,[ 59185.69069767 110227.47906977   2665.        ],[ 59230.78604651 109599.46511628   2665.        ],"[59206.63139534884, 110274.9581395349, 2665.0]","[59247.072093023264, 109642.18023255817, 2665.0]",74031562349778072,74031562349759848,648518346485825406,648518346481055200
6,1103591,710143,16671915,16671914,[ 61797.35348837 105298.09302326   2661.        ],[ 62408.43023256 104721.43255814   2661.        ],"[61826.956976744186, 105314.93604651163, 2661.0]","[62453.540697674434, 104725.04767441862, 2661.0]",74172162399176568,74172162399224763,648518346495874250,648518346481055200
7,1107524,710143,16681433,16681432,[ 45978.30232558 103999.11627907   2117.        ],[ 46093.8372093 103968.          2116.       ],"[46012.40697674419, 104025.84883720931, 2117.0]","[46129.174418604656, 103996.50000000003, 2116.0]",73609143457800294,73609143457809834,648518346501002381,648518346481055200
8,1107550,710143,16681443,16681442,[ 46978.8        104041.84651163   2121.        ],[ 46826.80232558 104126.84651163   2121.        ],"[47029.65000000001, 104053.53953488373, 2121.0]","[46878.854651162794, 104138.94302325582, 2121.0]",73609143457792301,73609143457805271,648518346466918382,648518346481055200
9,1107581,710143,16681450,15570269,[ 47172.73255814 104046.81395349   2103.        ],[ 47453.50232558 104164.25581395   2103.        ],"[47233.6976744186, 104082.4418604651, 2103.0]","[47512.75697674418, 104192.01744186049, 2103.0]",73679512201969133,73679512201966598,648518346488820970,648518346481055200
10,1107611,710143,16681458,16681457,[ 47727.3372093  104161.16976744   2073.        ],[ 47901.42093023 104107.33953488   2073.        ],"[47797.39244186047, 104216.13895348841, 2073.0]","[47975.51279069766, 104161.76860465117, 2073.0]",73679512201771110,73679512201881463,648518346509726082,648518346481055200
11,1109018,710143,16682407,15570202,[ 51121.25116279 105009.76046512   2009.        ],[ 51162.75116279 105263.75813953   2009.        ],"[51171.5034883721, 104979.78139534885, 2009.0]","[51208.00348837208, 105232.02441860465, 2009.0]",73749949598573453,73820318342765059,648518346490868856,648518346481055200
12,1109024,710143,16682409,15570192,[ 51880.55581395 105203.28372093   2015.        ],[ 51735.50232558 105000.           2015.        ],"[51909.36162790698, 105175.56744186048, 2015.0]","[51768.756976744204, 104976.0, 2015.0]",73820318342779319,73820318342767425,648518346486420961,648518346481055200
13,1109045,710143,16682415,15570196,[ 51513.24883721 104990.75581395   2018.        ],[ 51518.74883721 105170.75581395   2017.        ],"[51540.74651162792, 104978.51744186049, 2018.0]","[51544.74767441861, 105152.76162790699, 2017.0]",73820318342764894,73820318342777059,648518346492614075,648518346481055200
14,1109066,710143,16682424,15570178,[ 52799.74883721 104342.           1999.        ],[ 52458.75348837 104403.00930233   1999.        ],"[52861.99651162792, 104316.0, 1999.0]","[52520.260465116306, 104384.52790697677, 1999.0]",73820249623239231,73820249623244260,648518346507309433,648518346481055200
15,1109170,710143,16682517,16682516,[ 53842.75348837 103659.81860465   1975.        ],[ 53680.25581395 103465.82093023   1975.        ],"[53890.00697674419, 103634.38720930231, 1975.0]","[53728.517441860466, 103432.46279069771, 1975.0]",73890618367397001,73890618367381285,648518346495874250,648518346481055200
16,1109215,710143,16682561,16682560,[ 54473.93953488 103225.25581395   1951.        ],[ 54268.44186047 103062.25581395   1951.        ],"[54527.06860465116, 103211.51744186044, 1951.0]","[54326.825581395344, 103040.01744186049, 1951.0]",73890618367338692,73890618367333697,648518346495874250,648518346481055200
17,1109231,710143,16682577,16682576,[ 55559.69534884 102368.53953488   1915.        ],[ 54894.5744186  102442.75348837   1915.        ],"[55558.89069767442, 102371.57906976744, 1915.0]","[54925.97325581397, 102442.26046511633, 1915.0]",73960918325129364,73890618300437797,648518346493124338,648518346481055200
18,1109262,710143,16682634,16682633,[ 60905.46046512 101433.55348837   1964.        ],[ 60472.00465116 101303.25581395   1964.        ],"[60824.13139534884, 101457.66046511629, 1964.0]","[60392.01860465118, 101326.77325581398, 1964.0]",74101655880360310,74101655880407531,648518346483115084,648518346481055200
19,1109337,710143,16682663,16682662,[ 61289.50697674 101631.49767442   2008.        ],[ 61230.08837209 101364.66511628   2008.        ],"[61213.27093023257, 101659.74302325584, 2008.0]","[61158.515116279086, 101392.99534883724, 2008.0]",74101655880496330,74101655880498862,648518346485574781,648518346481055200
