,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
0,42148138,2022-11-17 14:28:59.843347+00:00,,t,39,73960987044430820,648518346494686197,73960987044425796,648518346481055200,[ 57029 102631   1841],[ 57053 102607   1842]
1,42148197,2022-11-17 14:28:59.843347+00:00,,t,30,73960987044400762,648518346465918000,73960987044403411,648518346481055200,[ 57123 102607   1836],[ 57103 102599   1838]
2,42147757,2022-11-17 14:28:59.843347+00:00,,t,16,73960987044591209,648518346507309433,73960987044596309,648518346481055200,[ 56445 102799   1908],[ 56443 102825   1909]
3,42148257,2022-11-17 14:28:59.843347+00:00,,t,35,73960987044350534,648518346465918000,73960987044313184,648518346481055200,[ 57159 102735   1807],[ 57177 102713   1807]
4,42147775,2022-11-17 14:28:59.843347+00:00,,t,58,73960987044598865,648518346507309433,73960987044613369,648518346481055200,[ 56479 102767   1913],[ 56475 102805   1913]
5,42148396,2022-11-17 14:28:59.843347+00:00,,t,21,73960987044469508,648518346501162584,73960987044494952,648518346481055200,[ 57311 102607   1868],[ 57343 102581   1869]
6,42147902,2022-11-17 14:28:59.843347+00:00,,t,17,73960987044640995,648518346495343183,73960987044617005,648518346481055200,[ 56655 102907   1919],[ 56627 102883   1919]
7,42147986,2022-11-17 14:28:59.843347+00:00,,t,29,73960987044464230,648518346489687091,73960987044433422,648518346481055200,[ 56813 102635   1853],[ 56813 102605   1853]
8,13102182,2022-11-17 14:28:59.843347+00:00,,t,41,73961262794693958,648518346509948986,73961262794688583,648518346481055200,[ 55389 112183   3508],[ 55417 112187   3509]
9,6360205,2022-11-17 14:28:59.843347+00:00,,t,18,73961262526454554,648518346509948986,73961262526467814,648518346481055200,[ 56709 110755   3059],[ 56745 110755   3058]
10,42285944,2022-11-17 14:28:59.843347+00:00,,t,20,74172437075832937,648518346374658993,74172437075838504,648518346481055200,[ 62433 114239   2294],[ 62453 114243   2294]
12,42333531,2022-11-17 14:28:59.843347+00:00,,t,13,73538774646621233,648518346481677983,73538774646613213,648518346481055200,[ 43829 103359   2038],[ 43811 103343   2037]
13,42333321,2022-11-17 14:28:59.843347+00:00,,t,35,73538774646615793,648518346485907592,73538774646600095,648518346481055200,[ 43515 103187   2031],[ 43499 103221   2031]
14,42381542,2022-11-17 14:28:59.843347+00:00,,t,38,74031218349596806,648518346497454917,74031218349606702,648518346481055200,[58359 98973  1835],[58375 98943  1836]
15,42382045,2022-11-17 14:28:59.843347+00:00,,t,20,74031218349631523,648518346489573135,74031218349628970,648518346481055200,[59021 98981  1846],[58989 98981  1846]
16,42382050,2022-11-17 14:28:59.843347+00:00,,t,38,74031218349631656,648518346504132134,74031218349619233,648518346481055200,[58979 99075  1840],[58997 99053  1841]
17,42382072,2022-11-17 14:28:59.843347+00:00,,t,28,74031218349566486,648518346497667574,74031218349547594,648518346481055200,[59025 99247  1815],[59017 99219  1815]
18,42382073,2022-11-17 14:28:59.843347+00:00,,t,45,74031218349593796,648518346495874250,74031218349593738,648518346481055200,[58999 98415  1829],[59023 98399  1830]
19,42382108,2022-11-17 14:28:59.843347+00:00,,t,45,74031218349584080,648518346504132134,74031218349599496,648518346481055200,[59029 99111  1836],[59053 99101  1837]
20,42381617,2022-11-17 14:28:59.843347+00:00,,t,32,74031218349351110,648518346497454917,74031218349583908,648518346481055200,[58427 98997  1825],[58437 98973  1827]
21,42381667,2022-11-17 14:28:59.843347+00:00,,t,46,74031218349556056,648518346497454917,74031218349581338,648518346481055200,[58473 99047  1826],[58495 99027  1827]
22,42382127,2022-11-17 14:28:59.843347+00:00,,t,17,74031218349616877,648518346465918000,74031218349611738,648518346481055200,[59083 99311  1837],[59073 99267  1838]
23,42382132,2022-11-17 14:28:59.843347+00:00,,t,24,74031218349604107,648518346495874250,74031218349596540,648518346481055200,[59073 98619  1835],[59085 98625  1834]
24,42381890,2022-11-17 14:28:59.843347+00:00,,t,30,74031218349584096,648518346497667574,74031218349579009,648518346481055200,[58797 99189  1826],[58781 99163  1826]
25,42533760,2022-11-17 14:28:59.843347+00:00,,t,41,74171956173439261,648518346486128297,74171956173442690,648518346481055200,[62151 99947  2448],[62151 99975  2451]
26,42557036,2022-11-17 14:28:59.843347+00:00,,t,36,74171818801655533,648518346479346642,74171818801658325,648518346481055200,[62005 95637  2607],[62027 95675  2606]
27,42594669,2022-11-17 14:28:59.843347+00:00,,t,23,73679443348440524,648518346474363330,73679443348445200,648518346481055200,[ 48897 101847   1913],[ 48923 101875   1913]
28,502859,2022-11-17 14:28:59.843347+00:00,,t,38,73820455781524763,648518346517481796,73820455781532447,648518346481055200,[ 52557 108949   1953],[ 52539 108921   1954]
29,34091797,2022-11-17 14:28:59.843347+00:00,,t,33,73679374696039832,648518346493841400,73679374696024808,648518346481055200,[48477 99313  2039],[48465 99347  2040]
30,2559455,2022-11-17 14:28:59.843347+00:00,,t,56,73820593623141265,648518346503768225,73820593623150407,648518346481055200,[ 51315 114393   2723],[ 51343 114403   2724]
31,3477857,2022-11-17 14:28:59.843347+00:00,,t,40,73890618233132043,648518346489297260,73890618233134638,648518346481055200,[ 54637 103379   1705],[ 54611 103397   1705]
32,3477912,2022-11-17 14:28:59.843347+00:00,,t,17,73890618233190211,648518346474363330,73890618233178656,648518346481055200,[ 54691 103413   1729],[ 54679 103411   1727]
33,30360785,2022-11-17 14:28:59.843347+00:00,,t,29,73890893513842791,648518346471927451,73890962233481151,648518346481055200,[ 54881 112635   2562],[ 54909 112653   2563]
34,3733959,2022-11-17 14:28:59.843347+00:00,,t,19,73890962635670972,648518346507340831,73890962635689308,648518346481055200,[ 55225 114071   3215],[ 55249 114055   3215]
